url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.larena.it/news/mondo/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela-1.12702343,https://www.larena.it/news/mondo/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela-1.12702343/amp,"Maduro a Trump ,  non farti avvelenare dalle bugie sul Venezuela  ",20250606T034500Z,https://gfx.larena.it/image/contentid/policy:1.12702344:1749167708/image.jpg?f=16x9&$p$f$h$w=7061f55,larena.it,Italian,Italy
https://www.lagazzettadelmezzogiorno.it/news/ultima-ora/1742238/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela.html,https://www.lagazzettadelmezzogiorno.it/news/ultima-ora/1742238/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela.amp,"Maduro a Trump ,  non farti avvelenare dalle bugie sul Venezuela  ",20250606T011500Z,https://www.lagazzettadelmezzogiorno.it/resizer/1200/630/true/ansa/2025_06_06/501862862ff13adf1fe8b9d2b6deb1c5.jpg--.jpg,lagazzettadelmezzogiorno.it,Italian,Italy
https://www.prealpina.it/pages/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela-380883.html,,"Maduro a Trump ,  non farti avvelenare dalle bugie sul Venezuela  ",20250606T014500Z,https://www.prealpina.it/uploads/spareparts/2025/06/06/pagina_380883/501862862ff13adf1fe8b9d2b6deb1c5_68422f83c094a.jpg,prealpina.it,Italian,Italy
https://www.bresciaoggi.it/news/mondo/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela-1.12702343,https://www.larena.it/news/mondo/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela-1.12702343/amp,"Maduro a Trump ,  non farti avvelenare dalle bugie sul Venezuela  ",20250606T023000Z,https://gfx.bresciaoggi.it/image/contentid/policy:1.12702344:1749167708/image.jpg?f=16x9&$p$f$h$w=7061f55,bresciaoggi.it,Italian,Italy
https://www.ansa.it/sito/notizie/mondo/americalatina/2025/06/06/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela_71eb7738-6e40-4a35-a5c0-28a9224b8b3f.html,https://www.ansa.it/amp/sito/notizie/mondo/americalatina/2025/06/06/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela_71eb7738-6e40-4a35-a5c0-28a9224b8b3f.html,"Maduro a Trump ,  non farti avvelenare dalle bugie sul Venezuela  - America Latina",20250606T011500Z,https://www.ansa.it/webimages/img_1129x635/2025/6/6/501862862ff13adf1fe8b9d2b6deb1c5.jpg,ansa.it,Italian,Italy
https://www.ansa.it/sito/notizie/mondo/2025/06/06/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela_b9775b8b-89f4-4cd3-9424-0a4b16d274b5.html,https://www.ansa.it/amp/sito/notizie/mondo/2025/06/06/maduro-a-trump-non-farti-avvelenare-dalle-bugie-sul-venezuela_b9775b8b-89f4-4cd3-9424-0a4b16d274b5.html,"Maduro a Trump ,  non farti avvelenare dalle bugie sul Venezuela  - Notizie",20250606T020000Z,https://www.ansa.it/webimages/img_1129x635/2025/6/6/501862862ff13adf1fe8b9d2b6deb1c5.jpg,ansa.it,Italian,Italy
https://notizie.tiscali.it/esteri/articoli/maduro-trump-non-farti-avvelenare-bugie-sul-venezuela/,,"Maduro a Trump ,  non farti avvelenare dalle bugie sul Venezuela  ",20250606T010000Z,https://simg.tiscali.it/media/25/06/06/rs_155_501862862ff13adf1fe8b9d2b6deb1c5.jpg,notizie.tiscali.it,Italian,Italy
https://www.ansa.it/sito/notizie/mondo/americalatina/2025/06/05/venezuela-si-e-spento-il-direttore-dorchestra-saglimbeni_ef2266d5-696c-4ff3-96ac-264af0eb4a22.html,https://www.ansa.it/amp/sito/notizie/mondo/americalatina/2025/06/05/venezuela-si-e-spento-il-direttore-dorchestra-saglimbeni_ef2266d5-696c-4ff3-96ac-264af0eb4a22.html,Venezuela : si è spento il direttore dorchestra Saglimbeni - America Latina,20250606T011500Z,https://www.ansa.it/webimages/img_1129x635/2025/6/5/895268b421104a21eb50297d63658487.jpg,ansa.it,Italian,Italy
https://www.ilfattoquotidiano.it/2025/06/05/il-lavoro-di-alberto-in-venezuela-era-solo-di-carattere-umanitario-non-politico-parla-armanda-colusso-la-madre-di-trentini/8013601/,https://www.ilfattoquotidiano.it/2025/06/05/il-lavoro-di-alberto-in-venezuela-era-solo-di-carattere-umanitario-non-politico-parla-armanda-colusso-la-madre-di-trentini/8013601/amp/,"  Il lavoro di Alberto Trentini era solo umanitario , non politico : parla la madre",20250605T064500Z,,ilfattoquotidiano.it,Italian,Italy
https://www.mymovies.it/film/2021/the-unbearable-weight-of-massive-talent/,,Il talento di Mr C . ,20250605T031500Z,https://pad.mymovies.it/filmclub/2019/11/186/coverlg_home.jpg,mymovies.it,Italian,Italy
